iter	Passed	Remaining
599	2816	1877
600	2820	1872
601	2826	1868
602	2831	1864
603	2836	1859
604	2842	1855
605	2847	1851
606	2852	1846
607	2857	1842
608	2863	1838
609	2868	1833
610	2873	1829
611	2878	1824
612	2882	1819
613	2887	1815
614	2892	1810
615	2896	1805
616	2901	1800
617	2905	1796
618	2910	1791
619	2915	1786
620	2919	1781
621	2924	1777
622	2929	1772
623	2933	1767
624	2938	1763
625	2943	1758
626	2948	1753
627	2952	1749
628	2957	1744
629	2961	1739
630	2966	1734
631	2971	1730
632	2975	1725
633	2980	1720
634	2985	1716
635	2990	1711
636	2994	1706
637	2998	1701
638	3003	1696
639	3006	1691
640	3011	1686
641	3015	1681
642	3019	1676
643	3023	1671
644	3027	1666
645	3031	1661
646	3035	1656
647	3040	1651
648	3044	1646
649	3048	1641
650	3052	1636
651	3056	1631
652	3061	1626
653	3065	1621
654	3069	1616
655	3073	1611
656	3077	1606
657	3081	1601
658	3085	1596
659	3090	1591
660	3094	1586
661	3098	1582
662	3102	1577
663	3107	1572
664	3111	1567
665	3115	1562
666	3120	1557
667	3124	1552
668	3128	1547
669	3132	1543
670	3137	1538
671	3141	1533
672	3145	1528
673	3149	1523
674	3153	1518
675	3158	1513
676	3161	1508
677	3165	1503
678	3170	1498
679	3174	1493
680	3178	1488
681	3182	1483
682	3186	1479
683	3190	1474
684	3194	1469
685	3199	1464
686	3203	1459
687	3207	1454
688	3212	1449
689	3216	1444
690	3220	1439
691	3223	1434
692	3227	1429
693	3231	1424
694	3235	1419
695	3239	1414
696	3243	1410
697	3247	1405
698	3251	1400
699	3255	1395
700	3260	1390
701	3264	1385
702	3268	1381
703	3273	1376
704	3277	1371
705	3281	1366
706	3286	1362
707	3291	1357
708	3295	1352
709	3299	1347
710	3304	1343
711	3308	1338
712	3313	1333
713	3318	1329
714	3322	1324
715	3327	1319
716	3331	1315
717	3336	1310
718	3341	1306
719	3346	1301
720	3351	1296
721	3356	1292
722	3361	1287
723	3365	1283
724	3370	1278
725	3375	1273
726	3379	1269
727	3384	1264
728	3389	1259
729	3393	1255
730	3397	1250
731	3402	1245
732	3407	1241
733	3411	1236
734	3416	1231
735	3421	1227
736	3426	1222
737	3430	1217
738	3435	1213
739	3439	1208
740	3444	1203
741	3449	1199
742	3454	1194
743	3458	1190
744	3463	1185
745	3468	1180
746	3472	1176
747	3477	1171
748	3482	1166
749	3487	1162
750	3492	1157
751	3496	1153
752	3501	1148
753	3505	1143
754	3510	1139
755	3515	1134
756	3520	1130
757	3524	1125
758	3529	1120
759	3533	1115
760	3538	1111
761	3542	1106
762	3547	1101
763	3552	1097
764	3557	1092
765	3561	1088
766	3566	1083
767	3571	1078
768	3576	1074
769	3580	1069
770	3585	1065
771	3590	1060
772	3595	1055
773	3600	1051
774	3604	1046
775	3609	1041
776	3614	1037
777	3618	1032
778	3621	1027
779	3626	1022
780	3631	1018
781	3635	1013
782	3640	1008
783	3644	1004
784	3648	999
785	3653	994
786	3657	989
787	3662	985
788	3666	980
789	3671	975
790	3675	971
791	3679	966
792	3683	961
793	3687	956
794	3692	952
795	3696	947
796	3701	942
797	3706	938
798	3712	933
799	3717	929
800	3723	925
801	3730	920
802	3735	916
803	3741	912
804	3746	907
805	3752	903
806	3756	898
807	3762	893
808	3766	889
809	3771	884
810	3775	879
811	3779	875
812	3784	870
813	3789	865
814	3794	861
815	3798	856
816	3803	852
817	3808	847
818	3813	842
819	3817	838
820	3822	833
821	3826	828
822	3831	824
823	3836	819
824	3840	814
825	3845	809
826	3849	805
827	3854	800
828	3859	796
829	3864	791
830	3868	786
831	3873	782
832	3878	777
833	3882	772
834	3886	768
835	3891	763
836	3895	758
837	3900	753
838	3904	749
839	3909	744
840	3914	740
841	3919	735
842	3923	730
843	3928	726
844	3933	721
845	3938	716
846	3943	712
847	3948	707
848	3952	703
849	3957	698
850	3962	693
851	3967	689
852	3971	684
853	3976	679
854	3980	675
855	3985	670
856	3989	665
857	3994	661
858	3998	656
859	4003	651
860	4007	647
861	4012	642
862	4017	637
863	4022	633
864	4026	628
865	4031	623
866	4036	619
867	4041	614
868	4046	609
869	4048	604
870	4052	600
871	4057	595
872	4061	590
873	4065	586
874	4069	581
875	4074	576
876	4079	572
877	4083	567
878	4087	562
879	4091	557
880	4096	553
881	4100	548
882	4104	543
883	4108	539
884	4113	534
885	4117	529
886	4121	525
887	4126	520
888	4130	515
889	4134	510
890	4138	506
891	4143	501
892	4147	496
893	4151	492
894	4155	487
895	4159	482
896	4164	478
897	4168	473
898	4172	468
899	4176	464
900	4181	459
901	4185	454
902	4189	450
903	4193	445
904	4197	440
905	4201	435
906	4205	431
907	4209	426
908	4214	421
909	4218	417
910	4223	412
911	4227	407
912	4232	403
913	4236	398
914	4240	393
915	4245	389
916	4249	384
917	4253	379
918	4257	375
919	4261	370
920	4266	365
921	4270	361
922	4274	356
923	4278	351
924	4282	347
925	4287	342
926	4292	338
927	4296	333
928	4300	328
929	4304	324
930	4309	319
931	4314	314
932	4319	310
933	4323	305
934	4327	300
935	4331	296
936	4335	291
937	4340	286
938	4344	282
939	4348	277
940	4353	272
941	4358	268
942	4362	263
943	4366	259
944	4370	254
945	4375	249
946	4380	245
947	4384	240
948	4388	235
949	4392	231
950	4397	226
951	4402	221
952	4406	217
953	4410	212
954	4415	208
955	4419	203
956	4422	198
957	4427	194
958	4431	189
959	4435	184
960	4439	180
961	4443	175
962	4448	170
963	4453	166
964	4457	161
965	4461	157
966	4466	152
967	4470	147
968	4476	143
969	4480	138
970	4484	133
971	4488	129
972	4493	124
973	4497	120
974	4502	115
975	4507	110
976	4512	106
977	4517	101
978	4525	97
979	4534	92
980	4544	88
981	4552	83
982	4572	79
983	4583	74
984	4589	69
985	4595	65
986	4603	60
987	4611	56
988	4619	51
989	4626	46
990	4633	42
991	4640	37
992	4647	32
993	4654	28
994	4660	23
995	4667	18
996	4674	14
997	4679	9
998	4686	4
999	4691	0
